Código,Nombre Institución,Categoría,ID_Municipio,Municipio
2820,CORPORACION UNIVERSITARIA LASALLISTA,Mixta,150,Caldas
2822,"ESCUELA SUPERIOR DE OFTALMOLOGIA, INSTITUTO BARRAQUER DE AMERICA",Mixta,111,Bogotá D.C.
2823,CORPORACION UNIVERSITARIA DEL CARIBE - CECAR,Mixta,942,Sincelejo
2824,CORPORACION UNIVERSITARIA DE COLOMBIA IDEAS,Mixta,111,Bogotá D.C.
2825,CORPORACION UNIVERSITARIA RAFAEL NUÑEZ,Mixta,177,Cartagena de Indias
2827,CORPORACION UNIVERSITARIA DEL META - UNIMETA,Mixta,1097,Villavicencio
2828,CORPORACION UNIVERSITARIA DEL HUILA-CORHUILA-,Mixta,613,Neiva
2829,CORPORACION UNIVERSITARIA MINUTO DE DIOS -UNIMINUTO-,Mixta,111,Bogotá D.C.
2830,CORPORACION UNIVERSITARIA IBEROAMERICANA,Mixta,111,Bogotá D.C.
2831,CORPORACION UNIVERSITARIA DE CIENCIA Y DESARROLLO - UNICIENCIA,Mixta,111,Bogotá D.C.
2832,UNIVERSIDAD DE SANTANDER - UDES,Universitaria,121,Bucaramanga
2833,CORPORACION UNIVERSITARIA REMINGTON,Mixta,562,Medellín
2834,UNIVERSITARIA AGUSTINIANA- UNIAGUSTINIANA,Mixta,111,Bogotá D.C.
2836,CORPORACION UNIVERSITARIA EMPRESARIAL DE SALAMANCA,Mixta,92,Barranquilla
2837,CORPORACION UNIVERSITARIA REPUBLICANA,Mixta,111,Bogotá D.C.
2838,CORPORACION COLEGIATURA COLOMBIANA,Mixta,562,Medellín
2840,CORPORACION UNIVERSITARIA EMPRESARIAL ALEXANDER VON HUMBOLDT - CUE,Mixta,68,Armenia
2842,CORPORACION UNIVERSITARIA REFORMADA - CUR -,Mixta,92,Barranquilla
2847,UNIVERSIDAD DE INVESTIGACION Y DESARROLLO - UDI,Universitaria,121,Bucaramanga
2848,CORPORACION UNIVERSITARIA  UNITEC,Mixta,111,Bogotá D.C.
2849,CORPORACION UNIVERSITARIA AUTONOMA DEL CAUCA,Mixta,703,Popayán
2850,CORPORACION UNIVERSITARIA ANTONIO JOSE DE SUCRE - CORPOSUCRE,Mixta,942,Sincelejo
2901,ESCUELA DE INTELIGENCIA Y CONTRAINTELIGENCIA BRIGADIER GENERAL RICARDO CHARRY SOLANO,Mixta,111,Bogotá D.C.
2902,ESCUELA DE LOGISTICA,Mixta,111,Bogotá D.C.
2904,ESCUELA SUPERIOR DE GUERRA GENERAL RAFAEL REYES PRIETO,Mixta,111,Bogotá D.C.
2905,CENTRO DE EDUCACION MILITAR - CEMIL,Mixta,111,Bogotá D.C.
2906,ESCUELA DE POSTGRADOS DE LA FUERZA AEREA COLOMBIANA CAPITAN JOSE EDMUNDO SANDOVAL - EPFAC,Mixta,111,Bogotá D.C.
3102,INSTITUTO SUPERIOR DE EDUCACION RURAL-ISER-,Técnica o Tecnóloga,662,Pamplona
3103,INSTITUCIÓN UNIVERSITARIA MAYOR DE CARTAGENA,Mixta,177,Cartagena de Indias
3104,COLEGIO MAYOR DEL CAUCA,Mixta,703,Popayán
3107,INSTITUCIÓN UNIVERSITARIA PASCUAL BRAVO,Mixta,562,Medellín
3114,ESCUELA NAVAL DE SUBOFICIALES ARC BARRANQUILLA,Técnica o Tecnóloga,92,Barranquilla
3115,INSTITUTO TECNOLOGICO DEL PUTUMAYO,Técnica o Tecnóloga,577,Mocoa
3117,INSTITUCIÓN UNIVERSITARIA ITSA,Mixta,92,Barranquilla
3201,UNIDADES TECNOLOGICAS DE SANTANDER,Técnica o Tecnóloga,121,Bucaramanga
3204,TECNOLOGICO DE ANTIOQUIA,Mixta,562,Medellín
3301,INSTITUCION UNIVERSITARIA ANTONIO JOSE CAMACHO,Mixta,153,Cali
3302,INSTITUTO TECNOLOGICO METROPOLITANO,Mixta,562,Medellín
3303,ESCUELA SUPERIOR TECNOLOGICA DE ARTES DEBORA ARANGO,Técnica o Tecnóloga,337,Envigado
3702,FUNDACION TECNOLOGICA AUTONOMA DE BOGOTA-FABA-,Técnica o Tecnóloga,111,Bogotá D.C.
3703,INSTITUCION UNIVERSITARIA ESCOLME,Mixta,562,Medellín
3705,FUNDACION UNIVERSITARIA TECNOLOGICO COMFENALCO - CARTAGENA,Mixta,177,Cartagena de Indias
3706,"FUNDACION CENTRO COLOMBIANO DE ESTUDIOS PROFESIONALES, -F.C.E.C.E.P.",Técnica o Tecnóloga,153,Cali
3710,FUNDACION UNIVERSITARIA ANTONIO DE AREVALO - UNITECNAR,Mixta,177,Cartagena de Indias
3712,FUNDACION CENTRO DE INVESTIGACION DOCENCIA Y CONSULTORIA ADMINISTRATIVA-F-CIDCA-,Técnica o Tecnóloga,111,Bogotá D.C.
3713,FUNDACION UNIVERSITARIA PARA EL DESARROLLO HUMANO - UNINPAHU,Mixta,111,Bogotá D.C.
3715,FUNDACION TECNOLOGICA AUTONOMA DEL PACIFICO,Técnica o Tecnóloga,153,Cali
3716,TECNOLOGICA FITEC,Técnica o Tecnóloga,121,Bucaramanga
3718,FUNDACION DE ESTUDIOS SUPERIORES COMFANORTE -F.E.S.C.-,Técnica o Tecnóloga,267,San José de Cúcuta
3719,INSTITUCION UNIVERSITARIA LATINA - UNILATINA,Mixta,111,Bogotá D.C.
3720,FUNDACION UNIVERSITARIA ESUMER,Mixta,562,Medellín
3724,FUNDACION TECNOLOGICA DE MADRID,Técnica o Tecnóloga,534,Madrid
3725,FUNDACION TECNOLOGICA ALBERTO MERANI,Técnica o Tecnóloga,111,Bogotá D.C.
3801,CORPORACION DE ESTUDIOS TECNOLOGICOS DEL NORTE DEL VALLE,Técnica o Tecnóloga,179,Cartago
3802,CENTRO EDUCACIONAL DE COMPUTOS Y SISTEMAS-CEDESISTEMAS-,Técnica o Tecnóloga,562,Medellín
